,STATION,LINENAME,LAT,LON,SYSTEM,NET_ENTRIES,CROWD_INDEX
251,GRANT AV,A,40.677107,-73.865376,MTA,545434.0,6.1123198085054895
252,3 AV,L,40.733243,-73.987169,MTA,545196.0,6.1117684937474515
253,NEWKIRK AV,25,40.639961,-73.948352,MTA,543206.0,6.107149319736021
254,GATES AV,JZ,40.689652,-73.922281,MTA,541696.0,6.103633012520734
255,45 ST,R,40.648866,-74.010086,MTA,539940.0,6.099531501776158
256,BAY RIDGE AV,R,40.634945,-74.023411,MTA,537951.0,6.094869627852619
257,CLINTON-WASH AV,C,40.683263,-73.965838,MTA,533946.0,6.085430071578191
258,PARKSIDE AV,BQ,40.655053,-73.961227,MTA,529406.0,6.074643547098843
259,FAR ROCKAWAY,A,40.603983,-73.755383,MTA,528796.0,6.073187211723288
260,GRAND ARMY PLAZ,23,40.675219,-73.971012,MTA,526161.0,6.066876957467198
261,WINTHROP ST,25,40.656648,-73.950198,MTA,525499.0,6.065286643823418
262,WEST FARMS SQ,25,40.840097,-73.879774,MTA,524678.0,6.063311581352014
263,NORTHERN BLVD,MR,40.752898,-73.905973,MTA,523113.0,6.059538118360457
264,170 ST,BD,40.839301,-73.913355,MTA,522950.0,6.059144450589854
265,KINGSTON-THROOP,C,40.679921,-73.940858,MTA,520070.0,6.052168537692815
266,207 ST,1,40.864653,-73.918719,MTA,512133.0,6.032741798179821
267,CORTELYOU RD,BQ,40.640905,-73.963866,MTA,505458.0,6.016169439059325
268,UNION ST,R,40.677302,-73.983135,MTA,504899.0,6.014771664629685
269,HALSEY ST,J,40.68617,-73.916337,MTA,504418.0,6.013567689225222
270,103 ST,BC,40.796105,-73.961399,MTA,503556.0,6.0114071699976686
271,DYCKMAN ST,A,40.865286,-73.92698,MTA,501644.0,6.006601698278865
272,HUNTERS PT AV,7,40.74238,-73.948889,MTA,501378.0,6.005931703710503
273,HOYT ST,23,40.690547,-73.985066,MTA,497439.0,5.9959684222162615
274,52 ST,7,40.744103,-73.912497,MTA,496030.0,5.992385337651014
275,CASTLE HILL AV,6,40.834255,-73.851222,MTA,491470.0,5.98071909731269
276,LORIMER ST,GL,40.713875,-73.951592,MTA,490410.0,5.977991704360294
277,36 AV,NQW,40.756977,-73.929373,MTA,487832.0,5.971333797622832
278,183 ST,4,40.858389,-73.903828,MTA,487334.0,5.970043615786055
279,ELDER AV,6,40.828894,-73.879559,MTA,486907.0,5.968936325234185
280,174-175 STS,BD,40.845892,-73.910136,MTA,484490.0,5.9626502310657035
281,PARSONS BLVD,F,40.707564,-73.803326,MTA,482530.0,5.957529625738805
282,174 ST,25,40.837382,-73.887659,MTA,479524.0,5.949635736400994
283,18 AV,D,40.607958,-74.001782,MTA,472187.0,5.930158733541653
284,CITY HALL,NRW,40.713086,-74.007232,MTA,468709.0,5.9208199560607895
285,135 ST,BC,40.817902,-73.947644,MTA,468430.0,5.920067813268364
286,RALPH AV,C,40.678815,-73.920801,MTA,465828.0,5.913031556431454
287,6 AV,123FLM,40.737348,-73.9969,MTA,462257.0,5.903310704369742
288,182-183 STS,BD,40.856085,-73.900695,MTA,455995.0,5.886081786262433
289,15 ST-PROSPECT,FG,40.660376,-73.979509,MTA,452960.0,5.877646146595609
290,ROCKAWAY AV,C,40.67836,-73.911939,MTA,449610.0,5.86826910157583
291,WESTCHESTER SQ,6,40.839892,-73.842952,MTA,449152.0,5.866981679631452
292,176 ST,4,40.848635,-73.912497,MTA,448312.0,5.864617053579544
293,79 ST,D,40.613513,-74.000645,MTA,445266.0,5.856005149039492
294,COURT SQ-23 ST,EGM,40.747257,-73.945112,MTA,441492.0,5.84525289549654
295,KOSCIUSZKO ST,J,40.693329,-73.928826,MTA,440002.0,5.8409825067167285
296,BAY RIDGE-95 ST,R,40.616624,-74.030964,MTA,438299.0,5.836083907497975
297,AVENUE M,BQ,40.617568,-73.95936,MTA,435343.0,5.827535746827223
298,NECK RD,BQ,40.595234,-73.95509,MTA,432093.0,5.818070149073363
299,FRANKLIN ST,1,40.719323,-74.006953,MTA,431751.0,5.817069939742952
300,STERLING ST,25,40.662752,-73.950605,MTA,427923.0,5.805820235593826
301,71 ST,D,40.619588,-73.998842,MTA,418125.0,5.776561069622613
302,MYRTLE-WILLOUGH,G,40.694568,-73.949046,MTA,415547.0,5.768748584993769
303,FT HAMILTON PKY,FG,40.650722,-73.975818,MTA,414681.0,5.766113341393822
304,77 ST,R,40.629702,-74.025514,MTA,414119.0,5.76440022554236
305,MT EDEN AV,4,40.844406,-73.914621,MTA,412708.0,5.76008887952902
306,NEW LOTS AV,3,40.666252,-73.884087,MTA,407260.0,5.743302900369721
307,CLARK ST,23,40.697356,-73.992888,MTA,407000.0,5.742496203529671
308,MARBLE HILL-225,1,40.874551,-73.909879,MTA,404211.0,5.733810270264982
309,NEW UTRECHT AV,DN,40.625419,-73.996632,MTA,403239.0,5.730769028613664
310,LAFAYETTE AV,C,40.68617,-73.973908,MTA,400358.0,5.721711558574774
311,COURT SQ,7,40.747029,-73.94537,MTA,399891.0,5.720237238144941
312,INTERVALE AV,25,40.822172,-73.896747,MTA,397866.0,5.713824323927915
313,CLASSON AV,G,40.688855,-73.960025,MTA,396836.0,5.710549912436397
314,ALLERTON AV,25,40.865481,-73.867393,MTA,393836.0,5.700964140915511
315,PROSPECT AV,R,40.665438,-73.992856,MTA,391885.0,5.694690929917827
316,9 AV,D,40.646343,-73.994551,MTA,391124.0,5.692235553200019
317,190 ST,A,40.859022,-73.93419,MTA,391030.0,5.691931929492614
318,69 ST,7,40.746325,-73.896403,MTA,388958.0,5.685220686780574
319,FRESH POND RD,M,40.706181,-73.89591,MTA,387662.0,5.681004722448499
320,EASTN PKWY-MUSM,23,40.672013,-73.96436,MTA,385797.0,5.674912966803241
321,CHAUNCEY ST,JZ,40.682867,-73.91048,MTA,384387.0,5.670287823433404
322,JAMAICA VAN WK,E,40.702566,-73.816859,MTA,384108.0,5.669370625072331
323,GUN HILL RD,5,40.877796,-73.866341,MTA,383352.0,5.666881960986136
